title,synopsis,type_,episodes,rating
S-Kano,1-5. Tenteki Kanojo 6. Nana no Totte Oki♡ 7. Sekuhara Mensetsu!? 8. Shiawase ni Narou yo! 9. Kanojo no Hiru to Yoru,Manga,1,-
S-kei Henshuuchou no Amai Batsu,1. Sex Penalty 2. Kairaku wa Oazuke! 3. Gaman Game♥ Koe wo Dashicha Dame! 4. Tokimeki Choukyou Ryokan 5. Toshishita Wanko ga Yajuu ni Nattara...,Manga,1,-
S-kei Idol to Yokujou Renai: Himitsu Afureru 1-shuukan,,Light Novel,1,-
S-kei Joushi to Himitsu no Koukan Jouken,,Light Novel,1,-
S-kei Kareshi no Jijou,,Light Novel,1,-
S-kei Kareshi Zukan!,1. Cosplay☆Animal [Sakou Watari] 2. Yokubari na Ka-ra-da: Zenra Drive [Minazuki Ren & Kohaku Kana (story draft)] 3. Ran's Pub e Ikou! [Masaki Souko] 4. Momoiro Heaven! [Yoshino Mari] 5. Atashi no Ores...,Manga,1,6.93
S-kei Kikoushi no Okiniiri,,Light Novel,1,-
S-kei Koushaku no Yuuga na Tawamure: Suito Hiren Romanesque,,Light Novel,1,-
S-kei Shachou to Naisho no Shinkon Seikatsu♥,,Light Novel,1,-
S-kei Toshishita Ouji ni Miserarete: Yume no Naka no Koi,,Light Novel,1,-
S-kke Mama no Kibishii Kozukuri Seikyouiku,"High school student Kouji finds himself attracted to older women. Sadly for him, though, he attends an all boys' school where the female teachers are old and ugly; it also doesn't help that his 38-yea...",Doujinshi,1,7.14
"S-kyuu Onzoushi-tachi ga Yuku, Isekai Keiyaku Rulers Life",,Light Novel,-,-
S-Rank Boukensha de Aru Ore no Musume-tachi wa Juudo no Fathercon deshita,"The youngest A-rank adventurer, child prodigy Kaiser, finds three babies who were the only survivor of a destroyed village. Then he decided to give up his job as an adventurer and raise them. Over tim...",Manga,-,6.86
S-Rank Boukensha de Aru Ore no Musume-tachi wa Juudo no Fathercon deshita,"The youngest A-rank adventurer, child prodigy Kaiser, finds three babies who were the only survivor of a destroyed village. Then he decided to give up his job as an adventurer and raise them. Over tim...",Light Novel,-,-
"S-Rank Monster no ""Behemoth"" dakedo, Neko to Machigawarete Elf Musume no Pet toshite Kurashitemasu",The elf girl Aria is an adventurer. She has a lovely face that attracts almost everyone. Her breasts are ripened to the point of almost exploding. And then being embraced between those breasts was a l...,Manga,-,6.60
"S-Rank Monster no ""Behemoth"" dakedo, Neko to Machigawarete Elf Musume no Pet toshite Kurashitemasu","Nobody asked to be a cat! After dying in a fight against the forces of evil, a knight is shocked to discover that instead of being reborn as a hero of humanity, he starts his new life as a behemoth-on...",Light Novel,-,-
S-senjou no Tena,"The Soul Score... that is something not unlike the threads of fate which tell the story of a person's life from the minute they are born to the finale of death. Few people can see this score, even few...",Manga,9,7.35
S-shiki Communication,,Light Novel,3,-
N to S,,Manga,-,-
N-kan,,Doujinshi,1,-
N-Ship,,Manga,1,-
