title,synopsis,type_,episodes,rating
Maboroshi Koi Kitan,"They suffer between Love and Duties. From thrilling Kunoichi comedy to the distress of a poisonous French queen, master Kamata Kimiko transcends time and space and brings you stories about delicate, e...",Manga,1,-
Gagoze,"The Muromachi Period was a time when nightfall brought true darkness. Set in this era of gloom, the tale of GAGOZE, a violent demon feared even by the monsters, is about to begin!",Manga,5,-
I,"The story of life and death takes place in the Tohoku region. Isao, a man who was born in Miyagi prefecture, is a man without relatives. On the other hand, Masahiko is the son of a doctor, and has alw...",Manga,3,-
I Accept You,"Yee Su-yoon is a high school student who has everything going for him – top of his class, top fighter and a Barbie-like girl friend named Kang Ha-eun. But why does he mistreat his girl friend and seem...",Manhwa,6,7.21
I Am a Hero,"Insecure 35-year-old Hideo Suzuki is forced to work as a mangaka's assistant when his own series fails due to low sales. As he struggles through a mundane life plagued by hallucinations, he comes to r...",Manga,22,7.75
I Am a Hero in Ibaraki,,Manga,1,6.38
I Am a Hero in Nagasaki,,Manga,1,6.30
I Am a Hero in Osaka,Spin-off of I Am a Hero.,Manga,1,6.52
I Am a Hero Koushiki Comic Anthology: 8 Tales of the ZQN,An anthology comic of I Am a Hero by various mangaka.,Manga,1,6.26
I Am a Turtle,"Follow this turtle down a Zen path through the wondrous natural world of Japan. Witness his simple life on a tea farm with his young master. Meet other animals such as his neighbor, the Sea Dog, an ow...",Manga,2,-
I Am Currently Living with a Bear,A wife sees her husband in the form of a bear. When they go to the doctor he tells them it’s stress related and that he will “turn” back to normal soon. But how can you define normal when your husband...,One-shot,-,7.15
I Am Here for You,Story about a ghost watching his family visit his grave at the cemetery. Contains no dialogue.,One-shot,-,-
I Am Sherlock,"Location: London; time: near-future. John Watson, a depressed and unemployed man, receives an invitation to become a certain ""unusual person's"" flatmate. He soon finds out that this unusual person is...",Manga,4,6.92
I ♥ HS,"Yamato Onidzuka. Childhood bully, punk, and sports prodigy. His old childhood friends are terrified of him, as he used to bully and harass them on a daily basis. When he transferred to a special sport...",Manga,2,7.37
I Can't Get!!,,Manhwa,-,-
I do I do,"Mun Su is a strong girl with a weak heart. Wanting to pay off the debt of her uncle, she is going to work for the creditor. To her surprise, the guy she beaten up outside is...!!! (You can guess where...",Manhwa,15,7.01
I Don't Know What I Don't Know,An unemployed otaku contemplates killing himself but is interrupted by an impatient angel of death. (Source: MU),One-shot,-,5.67
I Don't Want This Kind of Hero,A hero who fights countless mythical creatures. A story of SPOON's remarkable efficiency! (Source: MU),Manhwa,-,7.60
I Girl,"Kaga Maki is 26 year old, un-cute office lady who has never dated someone. However one day her twin brother Kaga Miki asks her to take his place as school teacher... she does so and then it turns out...",Manga,-,-
I gotta believe! ~Ore Nara Dekiru sa~,A collection of short stories.,Manga,1,-
I Hate,"1. I Hate 2. I Love 3-5. No Where, Now Here 6. Love Is Here...? 7. About Them",Manga,1,7.05
I Know What He Is,,Manhwa,-,-
I Like a Beautiful Guy,I am a woman who is tough to anyone who isn’t my type. Whether he be ugly or decent looking it doesn’t matter. My weakness is a beautiful guy! However I haven’t found anyone yet… “Wait for me beautifu...,Manhwa,10,6.91
I Like Haiku,,Manga,-,-
I Love Biyori,"A tale of Kohei and the daily life of his older girlfriend Ai. A manga about... not much, really.",Manga,3,-
I Love H,"1-4. Back Screen 5. Ane-ism: Nee, Chanto Shinasai yo? 6. Stock Option 7. Oshieru Koto, Osowaru Koto 8. Shutter 9. Ghost in the Residence",Manga,1,-
I Love Her,"Hana, a 16 year old who's a bit of a tomboy, is dumped by her boyfriend when she moves to Sapporo after her parent's divorce. On her first night there, she comes across a young guy who is seemingly to...",Manga,5,7.03
I Love My Sister's Boyfriend,"Judo-loving Mitsuka has been looking forward to finding her true love since starting high school. While walking through the park one afternoon, she encounters a cute boy napping on a bench. The next d...",One-shot,-,6.11
I Love Nee,,Manga,1,-
I Love UK,"Young boy and his lover, a maid. Just kissing is not enough for him and his little sister thinks she could help him by giving him a hand job. ",Doujinshi,1,-
I Love You,"Nijiko Ishida is very busy. Not only is she a high school student, but she must also take care of her three brothers (Kazu-nii, Tet-chan, and Taisuke) and her father! And wait, she's also in love with...",Manga,6,-
I Love You,,Manga,1,-
I Love You Baby,"You are the ""first"" of everything for me who is afraid of guys. A 7th grade girl by the name of Mirei is not allowed to do anything after school due to her strict parents, but one day she goes out on...",Manga,4,7.46
I LOVE YOU Nomi!!,Contains two stories: 1. I LOVE YOU Nomi!! 2. Plastic Flower,Manga,1,-
I Love You yori Aishiteru,Kazumi Shinjou who is a delinquent and Risa Takaoka who is a model student become unexpected friends. (Source: Yuri Project Scanlations) Included one-shot: Onaka wo Sukasete Kaettekuru ne,Manga,1,7.37
"I Love You, Vampire","If loving you was a sin...then that sin already began 200 years ago. I've suffered all this time to meet you, to love you. The lustful vampire Jin WooYoung, and the human girl that he loves, Kwon BoMy...",Manhwa,10,6.96
I Love You♥,Every Valentine's Day Nori receives chocolate along with a prank from his childhood friend Tsugumi.,Doujinshi,1,-
I Love!,"A series of short stories spanning over many H-genres. 1. Mai Love! 2. S&M 3. Run Fast, Hitomi-san 4. Sweet Temptation 5. Me And My Sister 6. Our Little Secret 7. Bad Boyfriend 8. After Blush Duel 9....",Manga,1,6.97
I My Mask,1. Tarinai ne Sacchan 2. I My Mask 3. Folder no Kanojo 4. Folder no Kanojo Plus 5. Tomodachi Kareshi (Friend Boyfriend) 6-7. Overtime 8. Korinai Kankei♥ 9. Himitsu no Chihiro-chan 10. Hajimete no Tomo...,Manga,1,-
I My Me! Strawberry Eggs,"Hibiki Amawa is an enthusiastic young man whose dream career is to be a professional teacher, having graduated from college with a certificate in athletics. When he is unable to pay his landlady, Lulu...",Manga,-,-
I Need You,Cute quarrel's between a the tomboyish sister (Airi) and her slovenly brother (Yuusuke),One-shot,-,-
I Need You,,Manga,-,-
I Novel,1. Tsuki ga Ookii node Miteta yo 2. Tobikomu Usagi no You ni 3-4. I Novel 5. I Novel: Hands Up! 6. I Novel: Good Morning.,Manga,1,-
I Spy,,One-shot,-,-
i tell c,A popular female celebrity is murdered! The investigation leads to a suspicious woman whose next target may be the famous actor Tagame. What could the suspect's motive be? Twin detectives are on the s...,Manga,-,6.35
I Ueo Boy,It all started with the suicide of an up and coming female photographer named Hirose Miki. The autopsy revealed that she may have been raped before she threw herself off of the condo balcony. Her fian...,Manga,8,-
I Want Papa,Sequel to Mad Pa Pii,Manga,1,-
I Want to Know You,"Akito Kujou, a rich-smart-scary guy who’s actually an otaku, was caught buying an anime figure by his friend Jin Takaya, who took pictures. Takaya then asked Akito to be with him for 5 days, and he sa...",Manga,1,6.66
I Want You,"Che Ja Nok, 16 years old, has a disease where her hair grows 20 cm every night. She lives with her aunt. One day at school, she gets a call: Her aunt passed away. Now her life is turned upside down, w...",Manhwa,1,6.56
I Will Be Cinderella,"My father died when I was small, and my mother was a first-ranked maid, who left me in the charge of my grandparents. The last time I met her was when she was 36. Out of curiosity, I plunge into the w...",Manhwa,20,7.50
I Will Grant You Three Wishes,A girl discovers a flower spirit who will grant her three wishes. What will she wish for? (Source: MU),Manhwa,-,-
I Wish...,Story about a young woman who after her family dies goes to a magician to wish them back. She ends up becoming his assistant until she makes a wish he can grant. How will she deal with his other custo...,Manhwa,7,7.77
K,"K is a work frankly atypical when compared to most comics or sleeves that are published in our country, and is an adaptation of a famous Japanese novel written by Yumemakura Baku. K (Ka) is the name o...",Manga,1,7.07
K no Kouzu,"The beginning of a love story set in a school for eccentric artists. A college student majoring in science starts working part-time as a lecturer at an art-prep school. Immediately, he catches the eye...",Manga,-,7.46
K no Souretsu,"A resident of Room 301 in Building 67, K, had died and no one had seen or was able to find his corpse. Everyone, however, was still certain that he was dead and held a funeral for him. That was when a...",Manga,2,7.24
K Side:Black & White,"Novel adaptation of K. This is focused on Isana Yashiro, Yatogami Kuroh, and Neko.",Light Novel,1,7.45
K Side:Blue,"A novel adaptation of K, focused on the history of the blue clan and the events which led to Munakata Reisi's appointment as the current blue king. ",Light Novel,1,7.58
K Side:Green,Follows Sukuna Gojou's rise through the ranks of JUNGLE.,Light Novel,1,-
K Side:Red,"Novel adaptation of K, tells the story of how the current red clan was created, the background story of Kushina Anna, and details of Kamamoto Rikio, Yata Misaki and Fushimi Saruhiko joining the red cl...",Light Novel,1,7.94
K-Dash,K' (K-Dash) is a four volume doujinshi compilation released by Kodansha containing oneshots by a number of different authors and artists. The first two issues contained short stories by published mang...,Doujinshi,4,6.97
K-On!,"Hirasawa Yui, a young, carefree girl entering high school, has her imagination instantly captured when she sees a poster advertising the 'Light Music Club.' Being the carefree girl that she is, she qu...",Manga,4,7.77
K-On! Anthology Comic,An anthology comic of K-On! by various mangaka.,Manga,5,7.38
K-On! College,"Yui, Mio, Ritsu, and Tsumugi embark on their college adventures! It will take some time for the girls to get used to life away from their families and adjust to the pace of college life, but there's o...",Manga,1,7.59
K-On! Highschool,"As the only member of the pop music club not to graduate, the responsibility of recruiting new members has fallen to Azusa. Ui and Jun have agreed to help out their friend, but they might be more inte...",Manga,1,7.56
K-On! Shuffle,"Sakuma Yukari decided to start a band on her own after seeing a certain band during the Sakura High School festival, then with her best friend Shimizu Kaede, they want to join the Light Music Club onl...",Manga,-,7.10
K-sensei no Yaban na Renai,Sequel of K-sensei no Yajuu na Aijou.,Manga,1,6.91
K-sensei no Yajuu na Aijou,"Popular erotica writer Kaji ""K"" sensei's glamorous appearance is only rivaled by the fantastic rumors surrounding him. Like how one of his best selling novels was based on a relationship with a high s...",Manga,1,7.00
K.A.A.R.,"Story revolves around a young middle school boy who discovered on accident one of his assertive classmates isn't wearing underwear at school, and how he is swept up in her exhibitionist lifestyle. (So...",Manga,2,-
K.O.K: King of Kuzu,,Manga,4,-
K.O.SEN,"This manga deals with the history of a teenage, Tobi Shima Sen, who has lost his father and lives with his mother. He is a scrapper but his mother has no authority on him. In order to educate him, she...",Manga,2,7.01
K2,"There used to be a legendary surgeon in Japan who simply went by the name K. His speed, accuracy and overall brilliantness were second to none and he helped a countless number of patients. However, fi...",Manga,-,-
K2♥: Kill Me Kiss Me,"When Tae Yeon Im finds out that the idol star that she's adored for ages is currently attending the same school as her identical cousin, Jung-Woo Im, she convinces her cuz to exploit their similitude...",Manhwa,5,6.90
K: Ao no Jikenbo,,Light Novel,2,-
K: Beautiful Pieces,A collection of short stories about the clans.,Manga,1,-
K: Countdown,The manga depicts what happens after the K: Missing Kings film from the viewpoints of different characters.,Manga,2,7.66
K: Days of Blue,"Tokyo Regional Legal Affairs Bureau Census Division, Annex 4 also known as SCEPTER 4 is a police institution that aims to stop criminals with special skills. But for them, their real target are...? (s...",Manga,2,7.73
K: Dog & Cat,"The K: Dog & Cat manga takes place after the first season of the television anime series, and focuses on the new character Kizuna in a quiet story.",Manga,1,-
K: Dream of Green,"The Green King surrounded by mystery, Hisui Nagare. Kurou's former senior disciple, Mishakuji Yukari. The youth who carries the weight being an executive, Gojou Sukuna. The drunkard and slovenly middl...",Manga,1,7.23
